worktime,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FT,AT	5.3 	5.3 	7.5 b	6.6 	6.4 	6.3 	6.4 	6.8 	5.6 	5.9 	6.9 	: 
FT,BE	3.6 	3.5 	3.4 	3.8 	3.9 	3.1 	3.4 	3.5 	3.9 	3.7 	3.7 	: 
FT,BG	4.5 	5.1 	6.3 	6.2 	6.4 	7.0 	6.6 	6.4 	8.1 	6.7 	10.2 b	: 
FT,CH	: 	6.7 	7.6 	6.7 	6.4 	6.4 	7.4 	6.6 	5.2 b	6.5 	5.4 	: 
FT,CY	6.2 	5.7 	5.8 b	6.0 	7.2 	6.7 	6.9 	7.8 	6.3 	7.6 	7.3 	: 
FT,CZ	3.2 	3.2 	3.4 	2.9 	3.4 	3.8 	4.2 	3.5 	3.3 	3.8 	3.5 	: 
FT,DE	4.0 	6.1 	5.4 	5.1 	5.4 	6.1 	5.7 	6.3 	7.5 	7.1 	6.5 	: 
FT,DK	4.1 	3.7 	4.5 	5.2 	5.1 	5.3 b	4.4 	4.2 	3.5 	4.0 	3.2 	3.7 
FT,EA18	6.5 	7.0 	6.9 	6.8 	6.8 	7.1 	7.1 	7.0 	7.7 	7.6 	7.7 	: 
FT,EA19	6.6 	7.0 	7.0 	6.9 	6.8 	7.2 	7.1 	7.0 	7.7 	7.6 	7.7 	: 
FT,EE	6.7 	7.2 	6.9 	6.9 	5.5 	7.0 	7.1 	6.4 	10.5 b	8.9 	8.6 	: 
FT,EL	12.7 	12.9 	13.5 	12.5 	11.7 	10.4 	13.4 	10.7 	11.9 	11.6 	12.2 	: 
FT,ES	9.7 	9.7 	9.4 b	9.6 	9.2 	9.3 	8.7 	8.9 	10.2 	10.3 	10.7 	: 
FT,EU27	7.0 e	7.2 	7.3 	7.0 	7.1 	7.4 	7.4 	7.2 	7.7 	7.8 	7.8 	: 
FT,EU28	: 	: 	: 	: 	7.1 	7.4 	7.4 	7.2 	7.7 	7.7 	7.8 	: 
FT,FI	3.4 	3.4 	3.9 	2.9 	3.0 	3.4 	3.0 	2.7 	3.1 	2.9 	2.7 	: 
FT,FR	5.1 	5.3 	5.3 b	5.3 	5.2 	5.9 	6.6 	5.9 	6.3 	6.0 	6.5 	: 
FT,HR	: 	: 	: 	: 	5.9 	5.9 	5.6 	5.3 	5.5 	5.4 	5.0 	: 
FT,HU	6.2 	5.1 	4.9 	5.2 	4.3 	4.9 	4.7 	5.8 	5.4 	8.4 	8.7 	: 
FT,IE	4.0 	3.8 	4.6 	4.2 	5.1 	3.5 	3.4 	3.1 	3.0 	2.9 	2.8 	: 
FT,IS	5.7 	6.0 	5.2 	5.8 	4.3 	4.0 	3.7 	4.1 	3.2 	4.5 	4.9 p	: 
FT,IT	8.3 	8.5 	8.4 	9.0 	8.6 	9.5 	9.3 	9.3 	9.6 	9.8 	10.0 	: 
FT,LT	9.3 	6.9 	8.3 	8.9 	11.4 	8.6 	5.8 	7.6 	6.8 	8.6 	6.5 	: 
FT,LU	9.0 	8.7 	8.5 	9.0 	10.0 	8.6 	9.0 	10.1 	9.9 	10.0 	10.5 b	: 
FT,LV	9.7 	8.0 	9.3 	9.3 	7.9 	7.9 	7.1 	7.7 	6.8 	8.2 	7.0 	7.4 
FT,MK	: 	: 	: 	: 	: 	: 	10.4 	10.9 	9.0 	8.3 	8.5 	: 
FT,MT	3.6 	4.1 	4.5 	5.0 	5.3 	5.3 	4.4 	5.3 	5.1 	4.7 	5.1 	: 
FT,NL	3.8 	4.3 	4.1 	4.0 	5.1 	4.6 	4.1 	3.4 	4.6 	4.4 	4.8 b	: 
FT,NO	5.3 	4.4 	4.6 	4.4 	3.7 	4.6 	4.0 	4.6 	3.7 	4.4 	4.3 	: 
FT,PL	11.4 	10.7 	10.5 	10.0 	10.5 	10.4 	9.6 	9.7 	10.0 	10.7 	10.2 	: 
FT,PT	9.4 	7.7 	9.6 	8.5 	8.1 	8.6 	8.5 	8.8 	9.1 	9.6 	9.5 	: 
FT,RO	: 	14.1 	14.2 	13.5 	15.7 	15.4 	15.9 	13.6 	15.0 	14.7 	14.3 	13.1 p
FT,RS	: 	: 	: 	: 	: 	: 	: 	13.0 	13.8 	12.4 	11.4 	: 
FT,SE	6.6 	5.8 	6.3 b	6.4 	6.1 	5.6 	5.5 	5.7 	6.2 	6.7 	5.3 	: 
FT,SI	4.2 	4.0 	4.7 	4.3 	4.6 	5.4 	5.6 	5.8 	5.5 	5.9 	5.3 	: 
FT,SK	6.1 	4.5 	5.5 	4.8 	5.2 	5.8 	5.8 	5.3 	5.2 	5.4 	6.1 	: 
FT,TR	16.9 	16.3 	16.7 	17.1 	16.7 	14.8 	14.3 	14.2 	13.8 	13.2 	: 	: 
FT,UK	5.2 	5.8 	6.4 	4.9 	5.3 	5.5 	6.6 b	6.2 	5.7 	5.6 	6.0 	: 
PT,AT	9.6 	8.1 	10.7 b	9.9 	9.0 	9.1 	10.5 	9.5 	9.6 	11.1 	9.4 	: 
