frankarok,mies,dzien,CHF,USD,EUR,JPY
2010,10,5,2.98,2.88,3.97,3.46
2010,10,4,2.96,2.89,3.96,3.48
2010,10,1,2.94,2.88,3.95,3.45
2010,9,30,3.00,2.93,3.99,3.51
2010,9,29,2.99,2.92,3.97,3.49
2010,9,28,3.01,2.96,3.98,3.52
2010,9,27,2.99,2.94,3.96,3.50
2010,9,24,3.03,2.97,3.97,3.51
2010,9,23,3.02,2.99,3.98,3.53
2010,9,22,2.98,2.96,3.94,3.50
2010,9,21,3.00,3.01,3.95,3.52
2010,9,20,3.00,3.02,3.95,3.52
2010,9,17,2.96,3.01,3.95,3.50
2010,9,16,3.01,3.01,3.93,3.52
2010,9,15,3.02,3.03,3.94,3.55
2010,9,14,3.06,3.06,3.95,3.68
2010,9,13,3.03,3.07,3.94,3.66
2010,9,10,3.02,3.09,3.93,3.68
2010,9,9,3.05,3.10,3.94,3.70
2010,9,8,3.08,3.12,3.95,3.71
2010,9,7,3.06,3.09,3.95,3.68
2010,9,6,3.00,3.05,3.93,3.62
2010,9,3,3.05,3.09,3.96,3.66
2010,9,2,3.06,3.10,3.97,3.68
2010,9,1,3.09,3.13,3.99,3.72
2010,8,31,3.10,3.16,4.00,3.74
2010,8,30,3.04,3.12,3.98,3.68
2010,8,27,3.06,3.13,3.98,3.70
2010,8,26,3.06,3.15,3.99,3.72
2010,8,25,3.06,3.15,3.99,3.72
2010,8,24,3.05,3.17,4.01,3.76
2010,8,23,3.04,3.14,3.99,3.67
2010,8,20,3.01,3.11,3.97,3.64
2010,8,19,2.96,3.08,3.95,3.60
2010,8,18,2.95,3.07,3.95,3.59
2010,8,17,2.97,3.08,3.97,3.62
2010,8,16,3.00,3.13,4.00,3.65
2010,8,13,2.95,3.11,3.99,3.62
2010,8,12,2.96,3.12,4.01,3.66
2010,8,11,2.90,3.06,4.00,3.59
2010,8,10,2.87,3.01,3.97,3.52
2010,8,9,2.89,3.00,3.99,3.51
2010,8,6,2.89,3.02,3.99,3.51
2010,8,5,2.89,3.03,3.99,3.51
2010,8,4,2.92,3.04,4.02,3.56
2010,8,3,2.91,3.01,3.99,3.50
